Price,URL,Location_Date,ConditionCategory,MainCategory
500 000 сум,https://www.olx.uz/d/obyavlenie/posutochno-posutochno-ID3LbZB.html,"Ташкент, Яккасарайский район - 30 апреля 2025 г.",not specified,Real_Estate
809 062 500 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-nrg-qorasuv-41kv-m-karobka-ID40jqU.html,"Ташкент, Чиланзарский район - 29 апреля 2025 г.",not specified,Real_Estate
7 119 750 сум,https://www.olx.uz/d/obyavlenie/vladelets-dupleks-bez-depozita-2k-stud-tip-4-km-ot-m-biy-po-lunach-sh-ID3b2id.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 08:19",not specified,Real_Estate
2 006 475 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/v248-prodaetsya-kvartira-akademgorodok-it-park-4-6-7-109m2-ID41HFL.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:30",not specified,Real_Estate
750 000 сум,https://www.olx.uz/d/obyavlenie/ogil-bollaga-chorsu-metro-bozor-shox-bekatga-juda-yaqin-joyda-ID3sfLt.html,"Ташкент, Шайхантахурский район - Сегодня в 09:30",not specified,Real_Estate
2 394 825 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-na-darhane-ID41HFF.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:30",not specified,Real_Estate
34 951 500 сум,https://www.olx.uz/d/obyavlenie/arenda-ofis-70kv-m-tashkent-siti-boulvard-1-etazh-svoya-u-dorogi-ID3VlD2.html,"Ташкент, Шайхантахурский район - Сегодня в 09:30",not specified,Real_Estate
860 842 500 сум,https://www.olx.uz/d/obyavlenie/9-kvartal-2v3-2-4-evroremont-ID41HFy.html,"Ташкент, Чиланзарский район - Сегодня в 09:30",not specified,Real_Estate
19 417 500 сумДоговорная,https://www.olx.uz/d/obyavlenie/zhk-darkhan-avenue-kvartira-bez-posrednikov-ID40kKt.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:30",not specified,Real_Estate
1 035 600 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-svoya-3h-kom-kvartira-v-40-let-pobedy-1-kv-v-tuzel-1-ID41emB.html,"Ташкент, Яшнабадский район - Сегодня в 09:30",not specified,Real_Estate
893 205 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/yashnabadskiy-rayon-izzat-maslo-zhir-3-4-8-68m2-ID40RZq.html,"Ташкент, Яшнабадский район - Сегодня в 09:30",not specified,Real_Estate
1 165 050 000 сум,https://www.olx.uz/d/obyavlenie/mirabad-zhk-greenwich-golden-house-elektroapparat-pod-klyuch-2-kom-50-m2-ID41ihn.html,"Ташкент, Мирабадский район - Сегодня в 09:29",not specified,Real_Estate
970 875 сум,https://www.olx.uz/d/obyavlenie/kvartira-bor-talaba-qizlar-uchun-xazaykali-uy-ID2Xa4A.html,"Ташкент, Сергелийский район - Сегодня в 09:29",not specified,Real_Estate
775 405 500 сумДоговорная,https://www.olx.uz/d/obyavlenie/nov-ka-3-4-8lift-bogishamol-72-8m2-obl-nalog-orkasida-ID3Wv0V.html,Самарканд - 30 апреля 2025 г.,not specified,Real_Estate
110 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/kum-aul-ippodromda-vremyankasy-bar-zher-plan-satylady-6-sotok-ID22XVE.html,Нукус - 28 апреля 2025 г.,not specified,Real_Estate
200 000 сум,https://www.olx.uz/d/obyavlenie/kvartira-bez-zagsa-ID3Qh8b.html,"Ташкент, Юнусабадский район - Сегодня в 07:40",not specified,Real_Estate
5 178 000 сум,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-na-novostroyke-2-4-8-shoh-saroy-18-ID41ihf.html,"Ташкент, Юнусабадский район - Сегодня в 09:29",not specified,Real_Estate
453 075 сум,https://www.olx.uz/d/obyavlenie/arenda-evro-ofis-v-tashkent-siti-nest-one-ID40RZ3.html,"Ташкент, Шайхантахурский район - Сегодня в 09:29",not specified,Real_Estate
368 932 500 сумДоговорная,https://www.olx.uz/d/obyavlenie/fargona-sh-kalinka-2h-kv-sotiladi-eki-barter-hovliga-3h-ID31QLT.html,Фергана - Сегодня в 09:29,not specified,Real_Estate
27 184 500 сум,https://www.olx.uz/d/obyavlenie/sdaetsya-4kom-kvartira-raspolozhena-na-gastronomicheskoy-ul-t-shevchenko-ID41HFh.html,"Ташкент, Мирабадский район - Сегодня в 09:29",not specified,Real_Estate
3 106 800 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodazha-hamid-alimzhan-metro-zaks-4-1-9-115m2-ID40RZ2.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:29",not specified,Real_Estate
1 294 500 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/4-2-5-yunusabad-18y-udvoennyy-zal-ID426Ul.html,"Ташкент, Юнусабадский район - Сегодня в 09:29",not specified,Real_Estate
7 119 750 сум,https://www.olx.uz/d/obyavlenie/sdaetsya-chilanzar-6-3-komn-1etazh-ID426Ug.html,"Ташкент, Чиланзарский район - Сегодня в 09:29",not specified,Real_Estate
970 875 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-salon-krasoty-s-mebelyu-i-tehnikoy-55-m-pervaya-liniya-ID41hHW.html,"Ташкент, Яшнабадский район - Сегодня в 09:29",not specified,Real_Estate
582 525 000 сум,https://www.olx.uz/d/obyavlenie/2h-komnatnaya-kvartira-na-2-etazhe-sogdiana-ID40RZ0.html,Самарканд - Сегодня в 09:29,not specified,Real_Estate
20 712 000 сум,https://www.olx.uz/d/obyavlenie/parkentskiy-ummon-75kv-nezhiloe-pomeschenie-vdol-dorogi-arenda-ID41iha.html,"Ташкент, Яшнабадский район - Сегодня в 09:28",not specified,Real_Estate
258 900 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/kvartira-sotiladi-kuvasoy-pakana-mfy-da-ID41OKn.html,Фергана - Сегодня в 02:45,not specified,Real_Estate
582 525 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-uchastok-6-sotok-ID3W6xi.html,"Ташкент, Юнусабадский район - 30 апреля 2025 г.",not specified,Real_Estate
3 883 500 сум,https://www.olx.uz/d/obyavlenie/aviasozlar1-lisunova1-1-4-4-ID41YHz.html,"Ташкент, Яшнабадский район - Сегодня в 09:21",not specified,Real_Estate
3 042 075 000 сум,https://www.olx.uz/d/obyavlenie/glinka-gai-nezhiloe-pomeschenie-85kv-m-100kv-m-terassa-pervaya-liniya-ID40RYZ.html,"Ташкент, Яккасарайский район - Сегодня в 09:28",not specified,Real_Estate
711 975 000 сум,https://www.olx.uz/d/obyavlenie/prodaetsya-shikarnaya-kvartira-dupleks-na-krestike-40-let-pobedy-ID40RYU.html,"Ташкент, Яшнабадский район - Сегодня в 09:28",not specified,Real_Estate
12 945 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/zhk-seul-mun-sdaetsya-novaya-2-h-komnatnaya-kvartira-v-elitnom-rayone-ID3AKi9.html,"Ташкент, Яккасарайский район - Сегодня в 09:28",not specified,Real_Estate
686 085 000 сум,https://www.olx.uz/d/obyavlenie/golden-house-assalom-havo-3h-komn-srochno-prodetsya-za-53000-ID40RYQ.html,"Ташкент, Яшнабадский район - Сегодня в 09:28",not specified,Real_Estate
673 140 000 сум,https://www.olx.uz/d/obyavlenie/sergeli-sputnik-16a-2-5-7-srochno-prodam-rem-sred-mozhna-v-kredit-ID426U7.html,"Ташкент, Сергелийский район - Сегодня в 09:28",not specified,Real_Estate
51 780 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/112-sdaetsya-v-arendu-hi-tech-dom-mirabadskiy-rayon-ul-sarakulka-ID3ZssV.html,"Ташкент, Мирабадский район - Сегодня в 09:28",not specified,Real_Estate
2 135 925 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/v247-prodaetsya-kvartira-tsum-ts-7-posolstvo-korei-3-3-9-70m2-ID41HEX.html,"Ташкент, Мирабадский район - Сегодня в 09:28",not specified,Real_Estate
763 755 000 сум,https://www.olx.uz/d/obyavlenie/kvartira-na-massive-kuylyuk-2-prodaetsya-srochno-ID41HEU.html,"Ташкент, Мирабадский район - Сегодня в 09:28",not specified,Real_Estate
5 178 000 сум,https://www.olx.uz/d/obyavlenie/r-sdaetsya-kvartira-2-6-9-na-yashnabadskiy-or-r-zhk-assalom-sohil-ID3Wiu1.html,"Ташкент, Яшнабадский район - Сегодня в 09:29",not specified,Real_Estate
64 725 000 сум,https://www.olx.uz/d/obyavlenie/muddatli-tolov-barcha-uchun-ID3SK25.html,Нурафшан (Тойтепа) - Сегодня в 09:28,not specified,Real_Estate
90 000 сум,https://www.olx.uz/d/obyavlenie/arzon-kvartira-mehmonhona-mexmonxona-arzon-hotel-xostel-ID3NFA9.html,"Ташкент, Юнусабадский район - 30 апреля 2025 г.",not specified,Real_Estate
300 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/hotel-gostinitsa-mehmonxona-taxtapul-ID3FCmf.html,"Ташкент, Юнусабадский район - 30 апреля 2025 г.",not specified,Real_Estate
150 000 сум,https://www.olx.uz/d/obyavlenie/kunlink-izhara-kv-ID3UmGp.html,Караул - Сегодня в 05:55,not specified,Real_Estate
258 900 000 сум,https://www.olx.uz/d/obyavlenie/hamyonbob-narxdagi-uylar-boshqa-hech-qayerdan-topa-olmaysiz-ID3USdb.html,Нурафшан (Тойтепа) - Сегодня в 09:28,not specified,Real_Estate
194 175 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/arenda-ofisnogo-pomescheniya-1-2-3-etazh-ID3JkwO.html,"Ташкент, Сергелийский район - Сегодня в 09:28",not specified,Real_Estate
841 425 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-uchastok-8-sotok-zangiota-s-remontom-ID426U3.html,Зангиата - Сегодня в 09:28,not specified,Real_Estate
19 417 500 сумДоговорная,https://www.olx.uz/d/obyavlenie/zhk-mirabad-avenue-sdaetsya-novaya-3-h-komnatnaya-v-elit-komplekse-ID3dz2H.html,"Ташкент, Мирабадский район - Сегодня в 09:28",not specified,Real_Estate
1 177 995 000 сум,https://www.olx.uz/d/obyavlenie/srochno-3-3-4-metro-buyuk-ipak-yuli-gostinitsa-saehatsobstvennik-ID3FuKn.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:28",not specified,Real_Estate
6 472 500 сум,https://www.olx.uz/d/obyavlenie/dacha-palma-v-yusufhona-ID3nkkw.html,Чарвак - Сегодня в 09:27,not specified,Real_Estate
3 300 975 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-ul-parkentskaya-korzinka-4-9-9-220m2-129-terrasa-ID40RYJ.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 09:27",not specified,Real_Estate
970 875 000 сум,https://www.olx.uz/d/obyavlenie/prodazha-kvartira-v-novsotroyka-78m2-komnat-3-mebel-i-tehnika-ostaetsya-ID41igP.html,"Ташкент, Яшнабадский район - Сегодня в 09:27",not specified,Real_Estate
12 945 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-v-shayhantahurskom-rayone-3komnatnaya-ID41HEJ.html,"Ташкент, Шайхантахурский район - Сегодня в 09:27",not specified,Real_Estate
15 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/termiz-tumani-sabzipoya-mahallasi-6-sotok-er-sotiladi-ID3SdL7.html,Термез - Сегодня в 09:27,not specified,Real_Estate
"593 415 200 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/srochno-deshevle-chem-pod-kotlovan-2-komnatnaya-v-zhk-triumph-residence-ID3Yjrl.html,"Toshkent, Yashnobod tumani - 30/04/2025",not specified,Real_Estate
1 297 082 404 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayu-dom-s-biznesom-1-liniya-v-dol-dorogi-toshturma-bogishamol-260-ID3Tt6l.html,"Toshkent, Yunusobod tumani - 30/04/2025",not specified,Real_Estate
"804 191 091 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/prodayotsya-1-komnatnaya-kvartira-yakkasarskij-rajon-bashlyk-ID41oNg.html,"Toshkent, Yakkasaroy tumani - Bugunda 07:58",not specified,Real_Estate
"85 607 439 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/arenda-evro-hi-tech-uchastok-pod-ofis-350m2-rakat-maxalla-kafe-buxara-ID3On5i.html,"Toshkent, Yakkasaroy tumani - Bugunda 09:27",not specified,Real_Estate
8 450 000 so’m,https://www.olx.uz/d/oz/obyavlenie/sdaetsya-arenda-kvartiry-m-ulugbekskij-r-n-massiv-feruze-eko-bazar-ID426TX.html,"Toshkent, Chilonzor tumani - Bugunda 09:27",not specified,Real_Estate
1 005 238 863 so’m,https://www.olx.uz/d/oz/obyavlenie/prodazha-yunusabad-13-j-kvartal-3-4-9-ID41HDY.html,"Toshkent, Yunusobod tumani - Bugunda 09:27",not specified,Real_Estate
5 836 871 so’m,https://www.olx.uz/d/oz/obyavlenie/sdayotsya-shikarnoe-1-3-9-kvartira-ul-fargona-juli-zhk-assalom-soxil-ID40RYG.html,"Toshkent, Yashnobod tumani - Bugunda 09:27",not specified,Real_Estate
4 150 664 so’m,https://www.olx.uz/d/oz/obyavlenie/cdam-cpochno-kvartiru-v-yakkasarajskom-ID426TV.html,"Toshkent, Yakkasaroy tumani - Bugunda 09:27",not specified,Real_Estate
9 079 577 so’m,https://www.olx.uz/d/oz/obyavlenie/r8-sdam-shikarnuyu-kvartiru-4-3-8-yunusabadskij-r-n-na-alajskij-ID426TU.html,"Toshkent, Yunusobod tumani - Bugunda 09:27",not specified,Real_Estate
408 580 957 so’m,https://www.olx.uz/d/oz/obyavlenie/botkina-mds-2-2-2-50m2-srochnoooo-ID41OLm.html,"Toshkent, Yashnobod tumani - Bugunda 09:27",not specified,Real_Estate
"18 159 154 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/ul-chexova-gabus-sdaetsya-novaya-shikarnaya-kvartira-v-elit-komplekse-ID3CjK7.html,"Toshkent, Mirobod tumani - Bugunda 09:27",not specified,Real_Estate
"632 000 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/kvartira-2x-komnatnaya-2-etazh-yangi-xayot-ujlari-ID3fTSP.html,Navoiy - Bugunda 09:27,not specified,Real_Estate
41 506 637 so’m,https://www.olx.uz/d/oz/obyavlenie/maksim-gorkij-sdaetsya-dom-v-prestizhnom-rajone-tashkenta-ID3tTUT.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:27",not specified,Real_Estate
"285 358 129 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/jomboy-t-uzunovul-massivi-vayinchas-dom-sotiladi-srochna-shoshilamiz-ID3WICL.html,Jomboy - 29/04/2025,not specified,Real_Estate
778 249 443 so’m,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-yangixajot-9-xudud-sotiladi-yangi-hayot-9-hudud-ID3XZUS.html,"Toshkent, Sirg‘ali tumani - 30/04/2025",not specified,Real_Estate
"150 000 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/mehmonxona-hotel-kunlik-kvartira-sutochnoj-kvartira-ID3Tp6r.html,"Toshkent, Yakkasaroy tumani - 30/04/2025",not specified,Real_Estate
544 774 610 so’m,https://www.olx.uz/d/oz/obyavlenie/oz-zamin-golden-house-uzbum-fergana-juli-korobka-1-komnatnaya-29-m2-ID41igN.html,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:27",not specified,Real_Estate
"20 753 318 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/arenda-svoya-novyj-hi-tech-ofice-shota-rustaveli-askiya-vdol-dorogi-55m2-ID3FJ2u.html,"Toshkent, Yakkasaroy tumani - Bugunda 09:27",not specified,Real_Estate
"31 117 007 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/arenda-hi-tech-office-nezheloe-pomeshheniya-ul-nukuskaya-makro-100m2-1-linya-ID3MPtX.html,"Toshkent, Yakkasaroy tumani - Bugunda 09:27",not specified,Real_Estate
2 464 457 so’m,https://www.olx.uz/d/oz/obyavlenie/dacha-v-charvake-pianino-ID3ngd9.html,Chorvoq - Bugunda 09:27,not specified,Real_Estate
27 238 730 so’m,https://www.olx.uz/d/oz/obyavlenie/arenda-hi-tech-office-m-ojbek-vdol-dorogi-60m2-novyj-8-parkovochnyx-ID3MPta.html,"Toshkent, Mirobod tumani - Bugunda 09:27",not specified,Real_Estate
"5 188 330 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/arenda-kvartira-chilanzar-o-r-3kv-torgovyj-centr-2v3-3-4-ID3YuMy.html,"Toshkent, Chilonzor tumani - Bugunda 09:27",not specified,Real_Estate
1 686 207 125 so’m,https://www.olx.uz/d/oz/obyavlenie/prodayotsya-evrodom-v-yashnabade-ok-uj-maxallya-2-sotok-n-10535-ID3DHNK.html,"Toshkent, Yashnobod tumani - Bugunda 09:27",not specified,Real_Estate
"1 232 228 284 so’mKelishilgan
",https://www.olx.uz/d/oz/obyavlenie/bulungur-tuman-navboxor-maxalasida-uy-sotiladi-ID3dHRO.html,Bulung'ur - Bugunda 09:27,not specified,Real_Estate
