Phone Name,Free Delivery (Exact Match),Free Delivery (Partial Match),Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
"realme Narzo N61 (Marble Black, 64 GB)",Yes,Yes,"₹7,546",4 GB,64 GB,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,,
"realme Narzo N61 (Marble Black, 128 GB)",Yes,Yes,"₹8,829",6 GB,128 GB,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,,
"realme Narzo N61 (Vyage Blue, 64 GB)",Yes,Yes,"₹7,534",4 GB,64 GB,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,,
"realme Narzo N65 5G (Deep Green, 128 GB)",Yes,Yes,"₹10,749",4 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme Narzo N65 5G (Ambr Gold, 128 GB)",Yes,Yes,"₹11,190",6 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme Narzo N65 5G (Amber Gold, 128 GB)",Yes,Yes,"₹10,920",4 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO N65 5G (DEEP GREEN, 128 GB)",Yes,Yes,"₹11,685",6 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO 70X 5G (Ice Blue, 128 GB)",Yes,Yes,"₹13,974",8 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,"Dimensity 6100 Plus, Octa Core Processor",1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO N65 5G (AMBER GOLD, 128 GB)",Yes,Yes,"₹10,749",4 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO N65 5G (AMBER GOLD, 128 GB)",Yes,Yes,"₹11,348",6 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO N65 5G (DEEP GREEN, 128 GB)",Yes,Yes,"₹11,499",4 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)",Yes,Yes,"₹12,895",4 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ 5G Chipset Processor,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 70 Pro 5G (Glass Green, 256 GB)",Yes,Yes,"₹21,990",8 GB,256 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",Yes,Yes,"₹16,999",4 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ 5G Chipset Processor,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",Yes,Yes,"₹13,499",6 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ 5G Chipset Processor,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 70 Pro 5G (Glass Gold, 256 GB)",Yes,Yes,"₹21,449",8 GB,256 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 70 Pro 5G (Gold, Glass Gold, 128 GB)",Yes,Yes,"₹18,999",8 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera | 16MP Front Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme narzo 70 5G (Ice Blue, 128 GB)",Yes,Yes,"₹15,985",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme 70 TURBO 5G (Turbo Purple, 128 GB)",Yes,Yes,"₹16,300",8 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme 70 TURBO 5G (Turbo Green, 128 GB)",Yes,Yes,"₹15,984",8 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme 70 TURBO 5G (Turbo Green, 128 GB)",Yes,Yes,"₹14,503",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo N65 5G (Deep Green, 128 GB)",Yes,Yes,"₹11,469",6 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme Narzo N65 5G (AMBER GOLD, 128 GB)",Yes,Yes,"₹12,970",8 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme Narzo 80x 5G (Deep Ocean, 128 GB)",Yes,Yes,"₹12,717",6 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
"realme Narzo 80x 5G (Sunlit Gold, 128 GB)",Yes,Yes,"₹13,619",8 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme 70 TURBO 5G (Turbo Yellow, 128 GB)",Yes,Yes,"₹14,679",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo 80x 5G (Sunlit Gold, 128 GB)",Yes,Yes,"₹12,706",6 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme Narzo 80x 5G (Deep Ocean, 128 GB)",Yes,Yes,"₹13,487",8 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
